unix_ts,t_s,L,F,X,Y,Z
1777751513.300,72.163,633,0,0,0,0
1777751513.409,72.273,633,0,0,0,0
1777751513.522,72.385,620,0,0,0,0
1777751513.631,72.495,408,0,0,0,0
1777751513.736,72.584,187,0,0,0,0
1777751513.836,72.703,151,0,0,0,0
1777751513.944,72.793,484,0,0,0,0
1777751514.049,72.897,614,0,0,0,0
1777751514.176,73.008,626,0,0,0,0
1777751514.278,73.109,627,0,0,0,0
1777751514.378,73.226,627,0,0,0,0
1777751514.487,73.319,632,0,0,0,0
1777751514.587,73.431,635,0,0,0,0
1777751514.694,73.541,642,0,0,0,0
1777751514.812,73.646,683,0,0,0,0
1777751514.915,73.754,652,0,0,0,0
1777751515.014,73.854,648,0,0,0,0
1777751515.118,73.960,675,0,0,0,0
1777751515.154,74.044,639,0,0,0,0
1777751515.266,74.156,640,0,0,0,0
1777751515.377,74.268,458,0,0,0,0
1777751515.477,74.367,211,0,0,0,0
1777751515.586,74.476,316,0,0,0,0
1777751515.692,74.582,270,0,0,0,0
1777751515.810,74.686,305,0,0,0,0
1777751515.914,74.790,279,0,0,0,0
1777751516.020,74.896,217,0,0,0,0
1777751516.138,75.005,148,0,0,0,0
1777751516.245,75.113,96,0,0,0,0
1777751516.356,75.222,99,0,0,0,0
1777751516.453,75.328,581,0,0,0,0
1777751516.562,75.430,619,0,0,0,0
1777751516.681,75.546,623,0,0,0,0
1777751516.799,75.646,626,0,0,0,0
1777751516.900,75.749,629,0,0,0,0
1777751517.007,75.839,628,0,0,0,0
1777751517.100,75.947,638,0,0,0,0
1777751517.229,76.058,629,0,0,0,0
1777751517.319,76.162,621,0,0,0,0
1777751517.421,76.261,626,0,0,0,0
1777751517.529,76.369,625,0,0,0,0
1777751517.648,76.477,624,0,0,0,0
1777751517.747,76.586,623,0,0,0,0
1777751517.858,76.682,620,0,0,0,0
1777751517.953,76.786,611,0,0,0,0
1777751518.475,76.890,619,0,0,0,0
1777751518.477,76.986,619,0,0,0,0
1777751518.479,77.099,617,0,0,0,0
